推: 0,噓: 0,分數: 0,作者: lightwish (穹願),標題: [新聞] 中共公布人體器官移植條例 民眾擔憂 專家,時間: Fri Dec 15 23:45:41 2023,0,0
推: 2,噓: 1,分數: 1,作者: a42152003 (泛黃的回憶),標題: Re: [新聞] 綠主委譏沒那個屁股還搶凱道 黃國昌反掀,時間: Sat Dec 16 00:31:03 2023,2,1
推: 173,噓: 25,分數: 148,作者: chadmu (噓之收集者查德姆),標題: [新聞] 詐欺車手保釋2天重操舊業 僅3天竟詐騙1女,時間: Fri Dec 15 20:58:08 2023,173,25
推: 18,噓: 48,分數: -30,作者: aure0914 (tunik),標題: [新聞] 「不該說追回獎項」Cheap道歉了：真的,時間: Fri Dec 15 21:04:15 2023,18,48
推: 7,噓: 6,分數: 1,作者: leocean9816 (阿光),標題: [新聞] 批黨政軍退出媒體跳票 黃國昌籲優先通過,時間: Sat Dec 16 02:20:00 2023,7,6
推: 3,噓: 0,分數: 3,作者: sushi11 (偶像可以亂摸嗎peko),標題: [問卦] 最早當詐騙的是不是都退休了？,時間: Fri Dec 15 21:07:36 2023,3,0
推: 6,噓: 2,分數: 4,作者: words2012 (づ′・ω・),"標題: [問卦] 包青天鐵面無私,是我們都該效法的!",時間: Sat Dec 16 01:05:26 2023,6,2
推: 3,噓: 0,分數: 3,作者: stunnerbhd (bhd),標題: [問卦] 館長+超派+廖老大身價有贏過小s的公公嗎?,時間: Sat Dec 16 00:05:21 2023,3,0
推: 45,噓: 3,分數: 42,作者: MeiHS (簽名檔詳見 其他版晃到，),"標題: [問卦] 日本店家門口貼什麼,會讓台人生氣轉安靜?",時間: Sat Dec 16 03:39:20 2023,45,3
推: 5,噓: 1,分數: 4,作者: democrat (democrat),標題: [問卦] 台灣應該要瘋狂借外債！,時間: Fri Dec 15 21:01:09 2023,5,1
推: 4,噓: 1,分數: 3,作者: redDest (紅油),標題: [問卦] 晚生小孩 小孩沒了比較能接受吧,時間: Sat Dec 16 00:52:14 2023,4,1
